*Vertices 168
129 128 0.04
130 129 0.04
131 130 0.04
132 131 0.04
133 28 3.0
133 132 0.04
134 4 4.0
134 28 3.0
135 86 300.0
137 4 4.0
137 28 3.0
138 4 4.0
138 28 9.0
138 139 0.06
140 4 4.0
140 28 3.0
136 91 300.0
142 4 6.0
142 28 6.0
142 62 200.0
141 10 6.0
141 29 3.0
141 36 0.006
141 91 400.0
141 142 0.02
143 28 15.0
143 29 20.0
144 58 400.0
144 145 0.09
147 75 4.0
147 146 0.18
147 148 0.08
146 75 14.0
146 147 0.02
146 148 0.02
146 149 400.0
149 28 15.0
149 29 4.0
149 62 2.0
150 45 8.0
152 1 4.0
152 28 3.0
152 153 0.06
154 153 0.04
151 6 3.0
151 164 300.0
157 4 4.0
157 28 3.0
157 156 0.06
158 156 0.04
155 10 3.0
155 164 300.0
159 45 3.0
159 164 400.0
160 45 3.0
160 150 600.0
161 45 3.0
161 160 400.0
161 164 400.0
162 6 32.0
162 164 1200.0
163 10 26.0
163 164 1200.0
164 45 3.0
165 151 0.06
165 159 200.0
165 164 300.0
166 151 0.06
166 161 200.0
166 164 300.0
167 155 0.06
167 159 200.0
167 164 300.0
168 155 0.06
168 161 200.0
168 164 300.0
